,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
19,1.8347768488674108,23,98,0.278,0.87,0.5621205873606374,8.245575081512285,2.987258017063141
144,1.8379685135677704,35,120,0.536,0.114,2.83943280587225,1.6996353740761512,1.00862252805382
0,1.8384728115524769,24,120,0.237,0.522,5.337871709762959,3.524519988919101,1.1717181289568543
10,1.8393658282901997,33,43,0.259,0.769,6.480777227473191,8.08663058840263,0.6701086591929197
127,1.8395999501284517,29,87,0.8490000000000001,0.517,4.187530862397522,2.2890337803292233,1.3040534378960729
112,1.8422172858912984,33,111,0.583,0.43,5.511127840047389,5.6070132595482685,0.9392334660515188
2,1.8427146314280345,35,104,0.29,0.7929999999999999,6.485354271360602,9.973815007329948,0.8255232379306108
16,1.8429271745827442,27,92,0.706,0.978,0.9002807944262896,8.51875711131531,2.343926233937964
50,1.845218367416736,37,87,0.35,0.816,3.6941587588469984,4.813123275604925,1.0369357101153582
63,1.846531326473716,29,69,0.895,0.187,2.1169518714137845,8.287610600134176,1.2375298910774288
197,1.846960430529676,34,57,0.742,0.48200000000000004,1.1588057293711822,5.7107118730411806,0.7486268379725516
41,1.8478599434806569,39,89,0.753,0.677,3.3745777890846367,4.744454361411785,0.9332548340316862
247,1.85006319269788,6,35,0.733,0.344,7.067381991237878,6.893590873120834,0.7540436449926347
220,1.8527932235460731,23,126,0.887,0.42,1.3362400950299416,6.755702003828447,2.2024569727946077
14,1.8584245904946852,32,75,0.664,0.31,1.4886038769040726,7.894497378832816,1.5600683938246218
20,1.8613382373466048,13,64,0.14,0.609,2.552435425695321,1.814864245741535,0.7881889950949699
193,1.8628987827785493,31,103,0.722,0.205,0.3836756352715768,7.435737441180938,1.3410544721409678
4,1.8636998011116368,38,59,0.5870000000000001,0.927,0.809842870083269,0.1445064933692076,1.0030204171780497
141,1.865212222883997,39,97,0.833,0.529,5.881640985319706,3.453820468310166,0.8567609030287713
9,1.866671221206812,28,55,0.821,0.672,8.798989973176852,2.066775097773329,0.9520516828633844
234,1.8682599337648047,5,124,0.126,0.434,2.8178054958023875,7.490648011415428,1.3875118140131235
6,1.8688450724073813,35,46,0.7240000000000001,0.85,9.563938796002533,3.8836880329009382,1.3534782689530402
138,1.8709741276942242,18,93,0.151,0.195,3.1035683214120704,4.053846775142514,1.014384367968887
43,1.8868064818796242,30,110,0.237,0.758,0.11002133979674156,1.5208159531838004,1.327158621046692
236,1.8995319618142328,29,109,0.843,0.685,0.8023785822600147,6.462236624222068,2.3744242759421472
3,1.9001604169745605,34,96,0.142,0.914,4.507848865275759,3.549739974262721,0.8027533409185708
173,1.904985629094978,37,117,0.883,0.414,1.188911540399508,7.666869894108438,1.6359564710874108
165,1.9430125207860118,2,125,0.10300000000000001,0.397,0.5965235194069871,6.72033096632634,1.4593786469195038
33,1.9604437807745447,9,34,0.11,0.102,5.693397166741973,3.3955452135849504,0.5882717720232904
