,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
170,1.5664605626521608,19,89,0.45899999999999996,0.904,8.959800648407127,1.1724610269192883,1.0510410170536488
208,1.5705945587365104,10,40,0.518,0.8109999999999999,6.854243228924357,5.229413400683801,0.9478920069523156
247,1.5734246284895714,13,43,0.498,0.715,7.040939654833938,3.4165609743629144,0.7945274780504405
2,1.5744045649981089,3,63,0.299,0.631,6.42809354023202,3.386577979209522,1.0106086130253968
187,1.5770473772590532,20,116,0.6990000000000001,0.607,8.325635736564633,1.6717189722046644,1.0587193719111383
119,1.5836459327477996,26,71,0.858,0.6,5.4043819724124695,7.776871085861565,1.2215130240656435
53,1.5846172032695258,10,108,0.721,0.354,9.255835544910989,4.804243395810691,1.1814897919539362
102,1.5885460172343708,7,93,0.731,0.456,8.62463880806567,4.982203853088796,1.1846768050454557
192,1.5933690698466665,15,107,0.18600000000000003,0.405,1.8462371671354876,8.153650460773282,1.4249159630853685
176,1.5952105564585042,28,74,0.5720000000000001,0.446,7.413020182014296,9.367391191624824,1.1246461910195649
88,1.5953852596619431,4,63,0.499,0.6709999999999999,7.996328095514674,8.104136395603241,1.0707326338160783
144,1.5974655940432156,22,30,0.727,0.851,7.982192580096344,1.784101756700061,0.6639343020506203
9,1.5980886100388076,24,79,0.883,0.405,8.802179703034131,3.4224712866505134,0.8935846230015159
222,1.6012812381752226,16,51,0.32799999999999996,0.86,6.5405281764458385,3.9669888595283167,0.8955852498766035
14,1.603187745431985,26,35,0.647,0.8640000000000001,7.124080922125898,3.22359994135506,0.6658482898492366
85,1.6086210065878173,1,122,0.23,0.586,0.14485375475518458,6.771398940739279,1.7401106578763574
19,1.6124920094259227,9,115,0.207,0.578,3.847601060764184,6.309865674865426,1.41093595395796
246,1.6142732226302163,10,41,0.42200000000000004,0.905,8.192029214439469,7.478807720726364,0.7545387020800263
123,1.615434703047211,18,79,0.47700000000000004,0.585,9.293816247004942,3.0317145600461104,0.9678944540210068
64,1.6185723402785317,11,69,0.335,0.748,7.690228191199328,1.9447136433780967,1.019852212863043
50,1.6223160048118332,7,62,0.4,0.7020000000000001,7.70387512256121,8.147872197058486,1.3023813930340111
179,1.6239127855037396,20,109,0.652,0.8540000000000001,9.715899069352924,3.073502838666613,0.9993639818858356
38,1.630313591307883,8,105,0.491,0.5329999999999999,9.963473120690553,8.766893640643447,1.1863857130520046
39,1.6343752136727494,28,111,0.318,0.691,7.72557292798693,3.935279755084089,0.978273909073323
31,1.6384698451879969,1,87,0.474,0.841,9.907451370863132,4.382919132169022,1.1720267750788478
4,1.6478487659062564,34,58,0.87,0.489,8.420458591406478,6.457955157221201,0.9975092769600452
87,1.648585587264435,1,100,0.423,0.7490000000000001,9.538074788366904,6.0949267798774205,1.2846322099212557
245,1.6512766657853624,14,34,0.674,0.935,9.906630149886878,1.594451853583903,0.6726275789551437
240,1.6562305691023234,13,77,0.35200000000000004,0.513,9.116310060914275,1.9468465522412128,1.1817917928565294
12,1.6593346402453255,4,56,0.358,0.991,8.812791364844166,3.4766313723039888,0.9173617360647768
16,1.662239418141409,37,38,0.528,0.23399999999999999,6.842422763590382,7.52336621203372,0.7424361379817128
127,1.6876049782730265,1,73,0.22,0.615,5.880225373836365,8.580415571314866,1.0976944381836802
10,1.7398675175196388,25,48,0.188,0.382,4.331531590944656,2.628741128236881,0.6994186500087379
17,1.7485627381022468,34,92,0.17300000000000001,0.301,5.038178834771111,4.396099614207692,1.3994951208587736
96,1.7617139914584008,18,88,0.14800000000000002,0.51,3.4944921614715265,7.767542949983801,1.0365221230313182
11,1.7646041030439754,29,72,0.16399999999999998,0.496,8.523584260287759,0.7129696145260408,0.7347423930186778
202,1.7862035921696715,36,42,0.13699999999999998,0.968,1.3243929556658849,1.7798105174089225,0.6018819159362465
51,1.8193596605792977,12,82,0.11199999999999999,0.973,1.2963099968062397,3.138182208860892,0.9772999179549516
3,1.8523207400245407,22,68,0.157,0.6759999999999999,5.139424767911557,6.307839999183832,0.8458968289196491
13,2.0163294913501404,19,57,0.10099999999999999,0.41200000000000003,5.491521403586559,9.702196680342565,0.6324514218140393
